"sentence",translation
"The first tree was near the lake.",Cái cây đầu tiên ở gần hồ.
"There is beautiful land lying on both sides of the wonderful river.",Hai bên con sông tuyệt vời là những vùng đất rất đẹp.
"What is the highest mountain?",Ngọn núi cao nhất là gì?
"The countryside is made with beautiful hills.",Vùng nông thôn có nhiều ngọn đồi tuyệt đẹp.
"They will go up to the snowy region.",Họ sẽ đi lên khu vực có tuyết.
"The rock was heavy and sharp.",Cục đá nặng và sắc nhọn.
"You threw the rock over the river?",Bạn đã ném hòn đá xuống sông ư?
"Even in the dense underbrush, it had found another rock.","Kể cả trong tầng cây thấp rậm rạp, nó đã tìm thấy một hòn đá khác."
"The summer is the best time to prune raspberry bushes.",Mùa hè là thời điểm tốt nhất để tỉa cành mâm xôi.
"You are staying the whole evening, I hope?","Tôi hy vọng anh sẽ ở lại cả buổi tối, phải không?"
"I study about the earth, and the animals.",Tôi nghiên cứu về trái đất và động vật.
"It isn't cold out there, is it?",Ngoài trời không lạnh phải không?
"She ran and ran and ran, until the night came to a close.","Cô ấy đã chạy, chạy rồi chạy cho đến khi hết buổi đêm."
"When she woke again, the sun was shining on her face.","Khi cô ấy tỉnh giấc, mặt trời đang chiếu sáng gương mặt cô ấy."
"Will you give me a cup of tea?",Bạn sẽ cho tôi một cốc trà chứ?
"Will you try it and see if it makes a difference if wouldn't mind?",Nếu bạn không phiền bạn có thể thử nó để xem nó có khác biệt hay không.
"Would you like to go on an outdoor adventure?",Bạn có muốn đi phiêu lưu ngoài trời không?
"He watched as the wolf disappeared into the tall grass.",Anh ấy coi chừng trong khi con sói biến mất vào đám cỏ cao.
"I know you must be tired, so I will let you rest.",Tôi biết bạn chắc hẳn thấy mệt nên tôi sẽ để bạn nghỉ ngơi.
"The dry weather was perfect for building.",Thời tiết khô rất lý tưởng để xây dựng.
"Those few pieces of fat pine were a great treasure.",Những miếng gỗ thông béo đó là một kho báu giá trị.
"The table and chairs were made of a dark rich wood.",Bộ bàn ghế được làm từ một loại gỗ tối màu sang trọng.
"She breathed in the ocean air.",Cô ấy đã hít thở bầu không khí đại dương.
"We bought a lily and set it in a sunny window.",Chúng tôi đã mua một bông hoa ly và đặt nó ở cửa sổ nhiều nắng.
"We can't keep falling forever, you know.","Bạn biết đấy, chúng ta không thể cứ tiếp tục rơi mãi."
"After two years' growth the bushes should be quite tall.","Sau hai năm, bụi cây sẽ mọc khá cao."
"She glanced around the lush hills.",Cô ấy đã liếc nhìn quanh những ngọn đồi xanh tốt.
"All of the islands have beautiful beaches and lush scenery.",Tất cả những hòn đảo đó đều có bãi biển đẹp và phong cảnh trù phú.
"The place is absolutely crammed with plants, a lush green oasis.","Nơi đó chen chúc cây cối, một ốc đảo xanh tươi trù phú."
"It is a very vibrant and proud community.",Đó là một cộng đồng sôi động và đầy kiêu hãnh.
"The dawn brought cool air and dense fog.",Bình minh đã mang đến không khí lạnh và sương mù dày đặc.
"The air was dry and hot, as if she were in a sauna.",Không khí khô và nóng như thể cô ấy đi tắm hơi.
"Cherry blossoms are in bloom for a short period.",Hoa sơ-ri nở trong một khoảng thời gian ngắn.
"Scorpions are numerous in the arid regions.",Những nơi khô hạn có nhiều bọ cạp.
"The day was sunny and mild, a perfect day for riding.","Ngày hôm đó nắng dịu, một ngày tuyệt vời để cưỡi ngựa."
"The majestic river dashes its way towards the valley.",Con sông hùng vĩ chảy về phía thung lũng.
"The blossom is fragrant.",Bông hoa rất thơm.
"The apple trees are looking beautiful.",Những cây táo trông rất đẹp.
"The birds are chirping in the trees.",Lũ chim đang líu lo trên cây.
"The cool breeze is chilling my spine.",Cơn gió mát đang làm tôi lạnh sống lưng.
"The tides are rushing towards the land.",Thủy triều đang dâng lên bờ.
"A calm river is flowing from the mountains.",Một con sông hiền hòa đang chảy ra từ những ngọn núi.
"The pond has many flowers.",Cái ao có rất nhiều hoa.
"Birds are flying around fearlessly.",Chim đang bay xung quanh không hề e sợ.
"The frogs are trilling in the pond.",Lũ ếch đang kêu râm ran trong ao.
"The tree has long branches.",Cái cây có nhiều cành dài.
"Fresh fruit, please.","Trái cây tươi, làm ơn."
"The sky is so amazingly beautiful today.",Hôm nay bầu trời đẹp đến ngỡ ngàng.
"Deer are grazing in the fields.",Nai đang gặm cỏ trên cánh đồng.
"The wolf is chasing the deer.",Sói đang đuổi theo nai.
"This river contains many species of fish.",Con sông này có rất nhiều loài cá.
"A pack of wolves is howling in the forest.",Một đàn sói đang hú trong khu rừng.
"The clouds caused a sudden blizzard.",Đám mây đã gây ra một cơn bão tuyết đột ngột.
"Let us fly a kite in the bright sunshine.",Chúng ta hãy thả diều trong lúc trời nắng chói.
"The bugs are making weird noises.",Lũ bọ đang tạo ra âm thanh kỳ lạ.
"The mighty river is flowing along the slopes of the mountains.",Con sông hùng vĩ đang chảy theo sườn núi.
"We are approaching a valley.",Chúng ta đang tiến gần một thung lũng.
"The great wind hit the valley.",Cơn gió mạnh táp vào thung lũng.
"Look at the colorful butterflies!",Hãy trông những con bướm sặc sỡ kìa!
"The birds are cool looking.",Lũ chim trông rất hay.
"The rabbits are hopping joyously.",Lũ thỏ đang vui vẻ nhảy nhót.
"The talkative bird is curious.",Con chim nói nhiều đang tò mò.
"The coyote is witty.",Con sói đồng cỏ thông minh.
"The mice are squeaking happily.",Lũ chuột kêu chít chít một cách vui vẻ.
"Snow is dripping from the leaves.",Tuyết đang nhỏ xuống từ những chiếc lá.
"Birds are drinking water from the unusually still river.",Lũ chim đang uống nước từ hồ nước tĩnh lặng khác thường.
"Rabbits hop merrily.",Lũ thỏ vui vẻ nhảy nhót.
"This particular rabbit was pretty quick at finding some food.",Con thỏ này tìm thức ăn khá nhanh.
"The bird builds its nest quickly from twigs.",Con chim xây tổ nhanh chóng từ những cành cây.
"The fluffy bear fishes in the stream.",Con gấu nhiều lông bắt cá ở dòng suối.
"The bear snores peacefully.",Con gấu ngủ ngáy một cách bình thản.
"The unstable rock rolls down the mountains.",Tảng đá chông chênh lăn xuống núi.
"The flowers blossom blissfully.",Những đóa hoa nở rộ.
"The lush green forest has a lot of animals in it.",Khu rừng xanh tốt có rất nhiều động vật.
"Do you want to talk while we're playing?",Bạn có muốn nói chuyện trong lúc chúng ta chơi không?
"Fruit is currently being harvested as we eat.",Trái cây đang được thu hoạch trong khi chúng ta ăn.
"Fresh berries are scattered across the land.",Những trái dâu tươi vương vãi khắp mặt đất.
"The moths flock to the light like crazy.",Lũ thiêu thân điên cuồng lao vào ánh sáng.
"Wavy branches make fill the day with joy.",Những cành cây uốn lượn cho ngày thêm nhiều niềm vui.
"The ducks quack happily.",Lũ vịt kêu quạc quạc một cách vui vẻ.
"The birds are at rest.",Lũ chim đang nghỉ ngơi.
"Reptiles lay under the canopy of the forest.",Những loài bò sát nằm bên dưới tán cây rừng.
"Butterflies sit on the shrubs.",Lũ bướm đậu trên những bụi cây.
"The rabbit is lying on his back playfully.",Con thỏ đang nằm ngửa một cách tinh nghịch.
"I hope the birds would sing while we play in the grass.",Tôi hy vọng lũ chim sẽ hót trong khi chúng ta chơi trên bãi cỏ.
"No, I don't see why that should be.","Không, tôi không hiểu vì sao như vậy."
"First we wait, then we move.",Trước tiên chúng ta hãy đợi rồi mới di chuyển.
"I've never tried that, should be interesting!","Tôi chưa bao giờ thử nó, chắc là thú vị lắm đây!"
"If we could, we should, why wouldn't we?","Nếu chúng ta có thể, chúng ta nên, vì sao lại không chứ?"
"She speaks as if everyone was asleep.",Cô ấy nói như thể mọi người đang ngủ.
"No wonder the birds sing, they sound great!","Lũ chim hót không có gì ngạc nhiên, chúng hót rất hay!"
"What is your favorite thing to do?",Bạn thích làm điều gì?
"The moon shines too, just not as much.","Mặt trăng cũng chiếu sáng, chỉ là không sáng nhiều."
"If only we could jump and reach the skies.",Ước gì chúng ta có thể nhảy chạm tới bầu trời.
"Let's get there by running.",Chúng ta hãy chạy đến đó.
"We are going to explore the forest tomorrow.",Ngày mai chúng ta sẽ khám phá khu rừng.
"We are from the beach.",Chúng tôi đến từ bãi biển.
"Here, let me get that for you.","Đây, để tôi lấy nó cho bạn."
"I want to be tall when I grow up.",Tôi muốn cao khi lớn lên.
"A gentle breeze is clearing away all the leaves.",Một cơn gió nhẹ đang cuốn sạch những chiếc lá.
"Take these rocks, they are yours.","Hãy lấy những cục đá này, chúng là của bạn."
"Remind your brother to take you out when he wakes up.",Hãy nhắc anh trai bạn đưa bạn ra ngoài khi anh ấy thức dậy.
"It is time to relax and enjoy.",Đã đến lúc thư giãn và thưởng thức rồi.
"The snow is very welcoming.",Tuyết thật là gọi mời.
"I need a light sleep in the afternoon.",Tôi cần chợp mắt vào buổi trưa.
"We are planning a trip to the forest.",Chúng tôi đang lập kế hoạch đi rừng.
"The fruit we are having today is from the forest.",Trái cây chúng tôi có ngày hôm nay là ở trong rừng.
"They are coming over to play.",Họ ghé qua để chơi.
"Think of any number from one to ten.",Hãy nghĩ một số bất kỳ từ một đến mười.
"It's time to go home.",Đã đến lúc về nhà rồi.
"Imagine the purple leaves.",Hãy tưởng tượng những chiếc lá màu tím.
"Get some ice cubes for the juice.",Lấy một ít cục nước đá cho nước trái cây.
"Get me two stones: one brown, the other white.","Lấy cho tôi hai cục đá: một nâu, một trắng."
"I will be swimming with the fish.",Tôi sẽ bơi cùng với cá.
"Watch closely!",Nhìn kỹ này!
"Let's go find some fruit.",Chúng ta hãy đi tìm một ít trái cây.
"Can we climb that tree?",Chúng ta có thể leo lên cái cây đó không?
"Yesterday was fun because we found that big rock.",Ngày hôm qua rất vui bởi vì chúng tôi đã tìm thấy tảng đá to đó.
"Let us finish this before the sun sets.",Chúng ta hãy làm xong việc này trước khi mặt trời lặn.
"I love having fruit in the afternoon.",Tôi thích ăn trái cây vào buổi trưa.
"When can you come out to play?",Khi nào bạn có thể đi ra chơi?
"I am always at home at weekends.",Tôi luôn ở nhà vào cuối tuần.
"You can be the best at anything you can imagine.",Bạn có thể trở thành người giỏi nhất trong mọi lĩnh vực mà bạn có thể nghĩ ra.
"It gets dark when the lights turn off.",Đèn tắt đi thì tối.
"Our dad gives us fruit every day.",Bố chúng tôi đưa trái cây cho chúng tôi hàng ngày.
"Animals sleep all the time.",Động vật lúc nào cũng ngủ.
"We all love playing games.",Tất cả chúng ta đều thích chơi trò chơi.
"We crossed the river with our bare feet.",Chúng tôi đã băng qua sông bằng chân trần.
"Place the fruit peel into the pile.",Bỏ vỏ trái cây vào đống kia.
"My feet got wet from the rain.",Chân tôi bị ướt vì mưa.
"I found two branches had fallen from the tree.",Tôi tìm thấy hai cành rơi xuống từ cái cây.
"The wolf howled all night.",Con sói đã hú suốt đêm.
"Let's give them another chance.",Chúng ta hãy cho họ một cơ hội nữa.
"Keep sight of where you are going.",Quan sát nơi bạn đang đến.
"I don't take sugar in my tea, thanks.","Tôi không uống trà có đường, cảm ơn."
"Feel free to visit me anytime.",Hãy cứ tự nhiên đến thăm tôi bất kỳ lúc nào.
"Her voice sounded so happy.",Giọng của cô ấy nghe rất hạnh phúc.
"We are going to clean everything up.",Chúng ta sẽ dọn dẹp mọi thứ.
"Let's meet at our tree house when the sun rises.",Hãy gặp nhau ở ngôi nhà cây của chúng ta khi mặt trời mọc.
"Can you make tea for us?",Bạn có thể pha trà cho chúng tôi không?
"I must follow my dream where ever it takes me.",Tôi phải theo đuổi ước mơ của mình dù nó có dẫn tôi đến đâu.
"We thanked our teacher for all her hard work.",Chúng tôi đã cảm ơn cô giáo của mình vì tất cả tâm huyết của cô.
"Let's get started right away.",Hãy bắt đầu ngay lập tức.
"Let everyone have what they want.",Hãy để mọi người có thứ họ muốn.
"The leaves are scattered all over the forest floor.",Lá cây vương vãi khắp mặt đất rừng.
"The fruits are all small and green.",Tất cả trái cây đều nhỏ và xanh.
"Would you please pour me a glass of the juice you made.",Bạn có thể rót cho tôi một cốc nước trái cây mà bạn pha không?
"The rabbits are enjoying their meal.",Lũ thỏ đang thưởng thức bữa ăn của chúng.
"Keep the windows slightly open.",Hãy để các cửa sổ mở hé.
"Who let the animals out?",Ai đã thả những con vật ra vậy?
"Try to remember what happened.",Cố gắng nhớ lại những gì đã xảy ra.
"I came here for you.",Tôi đã đến đây vì bạn.
"We both took a piece of fruit.",Cả hai chúng tôi đã lấy một miếng trái cây.
"We all sat watching the sun rise.",Tất cả chúng tôi đã ngồi ngắm mặt trời mọc.
"She is a very polite young girl.",Cô ấy là một cô gái trẻ rất lịch sự.
"Bring everything to me.",Hãy mang mọi thứ đến cho tôi.
"The birds chirped as they were fed.",Lũ chim kêu chiếp chiếp trong khi được cho ăn.
"I have a variety of different collections.",Tôi có nhiều bộ sưu tập khác nhau.
"Take care of your siblings.",Hãy trông nom anh chị em của bạn.
"We counted twelve branches in total.",Chúng tôi đã đếm được tổng cộng mười hai cành cây.
"Winter is coming.",Mùa đông đang đến.
"They love the snow so much.",Họ rất thích tuyết.
"I brought some rocks with me.",Tôi đã mang theo mấy cục đá.
"Every life is sacred.",Mọi sinh mạng đều quý giá.
"I can't run that fast.",Tôi không thể chạy nhanh đến vậy.
"The sun is shining quite brightly today.",Hôm nay mặt trời chiếu sáng khá rực rỡ.
"These berries are very fresh.",Những trái dâu này rất tươi.
"The sky is clear today.",Hôm nay bầu trời trong.
"There are many species of plants in the forest.",Có rất nhiều loài thực vật trong khu rừng.
"You can see dew on leaves early in the morning.",Bạn có thể nhìn thấy sương đọng trên lá vào sáng sớm.
"The land is filled with flowers.",Mặt đất được phủ bởi nhiều hoa.
"Look, there is a deer in the woods.","Nhìn kìa, có một con nai trong rừng."
"What kind of bird is this?",Đây là chim gì?
"The mountain is very steep, so be careful while climbing it.",Núi rất dốc nên hãy cẩn thận khi leo.
"Let's drink fresh water from the lake.",Chúng ta hãy uống nước ngọt ở hồ.
"The pond is filled with fish of all kinds.",Ao nước có rất nhiều loài cá.
"Flowers are in full bloom at this time of the year.",Hoa đang nở rộ vào thời điểm này trong năm.
"The weather gets beautiful in spring.",Thời tiết mùa xuân đẹp.
"Full moon occurs roughly once a month, except on a blue moon.","Trăng rằm xuất hiện khoảng một lần mỗi tháng, ngoại trừ hiện tượng trăng xanh."
"The sky is filled with stars tonight.",Bầu trời đêm nay có rất nhiều sao.
"I think I love all of the flowers around here.",Tôi nghĩ rằng tôi yêu thích tất cả những bông hoa quanh đây.
"I like to eat.",Tôi thích ăn.
"It's a beautiful view from the top of this mountain.",Quang cảnh nhìn từ đỉnh núi này thật đẹp.
"You should sing more often, you have such a beautiful voice.","Bạn nên hát thường xuyên hơn, bạn có giọng rất hay."
"We should dance together to this song.",Chúng ta nên nhảy cùng nhau theo bài hát này.
"The flower was usually found in the back of the forest.",Đóa hoa thường được tìm thấy ở phía lưng của khu rừng.
"The wind blew the leaves lying on the ground.",Gió đã thổi những chiếc lá nằm trên mặt đất.
"What are you bringing to eat on this adventure?",Bạn mang thứ gì để ăn trong chuyến phiêu lưu này vậy?
"The bird drank water from the lake.",Con chim đã uống nước từ hồ.
"Is it possible to swim with fishes in the sea?",Có thể nào bơi cùng cá ở biển hay không?
"Stars sparkle at night.",Các ngôi sao lấp lánh vào ban đêm.
"She has deep blue eyes.",Cô ấy có đôi mắt xanh dương sâu thẳm.
"Heavy mist covered the magical place from being seen.",Nơi cổ tích đó đã bị bao phủ bởi làn sương mù dày đặc.
"It will rain today.",Hôm nay trời sẽ mưa.
"Wild animals live out here.",Thú hoang sống ngoài này.
"Summer days are long and hot.",Ngày mùa hè nóng và kéo dài.
"The bee uses its beautiful wings to fly.",Con ong dùng đôi cánh xinh xinh của nó để bay.
"Light from the star twinkles at night.",Ngôi sao lấp lánh vào ban đêm.
"The sky is covered with heavy clouds today.",Hôm nay trời có nhiều mây.
"The bear living in the forest likes to eat everything.",Con gấu sống trong rừng thích ăn mọi thứ.
"The rock is extremely heavy.",Tảng đá cực kỳ nặng.
"Waves can be seen from the beach.",Từ bãi biển có thể nhìn thấy những con sóng.
"Do you like reading the tree rings?",Bạn có thích xem vòng tuổi của cây không?
"The duck swims in the pond.",Con vịt bơi lội trong ao.
"He plays the flute very well.",Anh ấy thổi sáo rất tốt.
"She lives in a big beautiful house.",Cô ấy sống trong một ngôi nhà to đẹp.
"Red berries are the ripe ones.",Dâu đỏ là dâu chín.
"The green grass covered the lawn.",Cỏ xanh phủ kín bãi đất.
"The sky is clear and blue in summer.",Bầu trời mùa hè trong xanh.
"These berries are freshly picked from the tree.",Những quả dâu này mới được hái từ cây.
"The forest floor hides many little animals.",Thảm rừng là nơi ẩn náu của rất nhiều động vật nhỏ.
"Birds have the ability to fly.",Chim có khả năng bay.
"This mountain will lead you to view number two.",Ngọn núi này sẽ dẫn bạn đến xem số hai.
"Wolves have a strong sense of smell.",Sói có khứu giác tốt.
"All the trees are covered in snow in winter.",Tất cả cây cối bị tuyết che phủ vào mùa đông.
"How many members are there in your family?",Gia đình bạn có bao nhiêu người?
"Children like to build stuff when they are on the beach.",Trẻ con thích xây cát trên bãi biển.
"He stayed in the cool and dark cave to avoid getting wet in the rain.",Anh ấy đã ở trong một cái hang lạnh và tối để tránh mưa ướt.
"Let's play hide and seek, it will be fun.","Chơi trốn tìm đi, sẽ vui lắm."
"What are you making tonight?",Bạn đang làm gì tối nay?
"I love my family.",Tôi yêu gia đình.
"The food from the forest was delicious.",Thức ăn trong rừng rất ngon.
"How often does a bird flap its wings?",Chim vỗ cánh nhanh cỡ nào?
"It is very important to stay warm in winter.",Rất cần giữ ấm vào mùa đông.
"My best friend gave me a piece of fresh fruit.",Bạn thân nhất của tôi đã cho tôi một món trái cây tươi.
"Flowers blossom on the tree every spring.",Cái cây nở hoa mỗi mùa xuân.
"I often dream about magical creatures at night.",Tôi thường mơ về những sinh vật cổ tích vào ban đêm.
"The land was filled with short bushes.",Những bụi cây thấp phủ kín vùng đất.
"Sweet juice is a very refreshing treat on a hot day.",Nước trái cây ngọt lịm là một thức uống giải khát rất đã vào ngày nóng.
"The gold glimmered in the dark.",Vàng le lói trong bóng tối.
"Water bubbles when it boils.",Nước nổi bong bóng khi sôi.
"People of this town are very nice and helpful.",Người dân thị trấn này rất tốt bụng và hay giúp người.
"Animals have a very special place in my heart.",Động vật có một vị trí rất đặc biệt trong trái tim tôi.
"Fully ripened berries are sweet and delicious.",Những trái dâu đã chín hẳn rất ngon và ngọt.
"The bird has a nest on the branch of this tree.",Con chim có một cái tổ trên một nhánh của cây này.
"This short path will get you to the hill in no time.",Đường tắt này sẽ dẫn bạn lên đồi rất nhanh.
"Are you free this afternoon?",Bạn có rảnh trưa nay không?
"Insects often live in humid climates.",Côn trùng thường sống trong khí hậu ẩm.
"You should come the tall tree and meet me sometimes.",Thỉnh thoảng bạn nên tới cái cây cao để gặp tôi.
"This is a very special plant.",Đây là một cái cây rất đặc biệt.
"The flowers dance in the shiny weather.",Những bông hoa đung đưa trong tiết trời nắng đẹp.
"Sky in is a seemingly never-ending vastness.",Bầu trời dường như rộng lớn vô tận.
"The ever so bright sun is glimmering in the open blue sea.",Mặt trời chói lóa đang lấp lánh trên mặt biển khơi xanh.
"The sun is starting to set.",Mặt trời đang bắt đầu lặn.
"As the day is at its brink and the night is about to break.",Khi ngày sắp bắt đầu thì màn đêm cũng sắp qua.
"The leaves of the tree.",Những chiếc lá của cái cây.
"The bright sunshine warms the rabbit as it begins to sleep.",Ánh nắng chói chang sưởi ấm con thỏ trong khi nó bắt đầu ngủ.
"The river clashes with the rocks fiercefully.",Nước sông đập mạnh vào những tảng đá.
"The cool breeze makes the bird dance in the wind.",Cơn gió mát khiến con chim bay lượn tung tăng.
"The raindrops look like silver gems scattering across the land.",Những giọt nước mưa trông như những viên đá bạc rơi khắp mặt đất.
"The wolf wags his tail as he gets patted.",Con sói vẫy đuôi khi nó được vỗ về.
"The land is filled with cool looking flowers.",Mặt đất có đầy những bông hoa lạ mắt.
"The squirrels relax as the warm sunlight approaches.",Những con sóc thư giãn khi ánh nắng ấm tiến gần.
"It is a field of aromatic flowers.",Đó là một cánh đồng đầy hoa thơm.
"The fish playfully travel the tides of the ocean.",Con cá chơi đùa cùng thủy triều của đại dương.
"The deer grazes as the sun dawns.",Con nai gặm cỏ khi mặt trời mọc.
"The dry autumn leaves crunch as I walk through.",Những chiếc lá khô mùa thu vỡ lách tách khi tôi bước qua.
"The wolf relaxes as the day dusks.",Con sói thư giãn lúc hoàng hôn.
"The herd of elk sleeps as the day ends in the tranquil countryside.",Bầy nai sừng xám đi ngủ vào cuối ngày ở vùng nông thôn yên bình.
"He is as calm as the fields of the countryside.",Anh ấy tĩnh lặng như những cánh đồng vùng nông thôn.
"The bees buzz in the scorching summer heat.",Lũ ong kêu vo vo trong cái nóng như đổ lửa của mùa hè.
"The juicy berries grow in the bushes.",Những trái dâu mọng nước mọc trong bụi cây.
"The bird flaps her wings as the sudden breeze touches her.",Con chim vỗ cánh khi làn gió bất ngờ thổi vào nó.
"The birds take shed in the trees as the hot sunlight approaches them.",Những con chim trú ngụ dưới cây khi ánh nắng mặt trời đến gần chúng.
"The bird moves rhythmically as the drops of rain pats her.",Con chim di chuyển nhịp nhàng khi những hạt mưa rơi vào chúng.
"The school of fish swims around as the tides rise.",Đàn cá bơi xung quanh khi thủy triều dâng.
"The ducks dance in the sweet spring.",Lũ vịt nhảy múa trong tiết trời xuân tươi đẹp.
"The rainbow reveals itself as the rain stops.",Cầu vồng ló rạng khi tạnh mưa.
"The owl stares at the moon in the lonely night sky.",Con cú nhìn mặt trăng dưới bầu trời đêm cô quạnh.
"The rocks act as a pillow to the lazy grizzly bears.",Những tảng đá giống như chiếc gối đối với những con gấu xám lười nhác.
"The wind takes away the seeds from the trees.",Cơn gió cuốn đi những hạt mầm từ cây.
"The rabbit eats the food peacefully.",Con thỏ đang ăn một cách bình thản.
"Snow chills the animals as winter approaches.",Tuyết khiến các con vật thấy lạnh khi mùa đông đến gần.
"Reptiles crawl in the wet forest floor.",Loài bò sát bò trên thảm rừng ẩm ướt.
"The bird weaves its nest as the spring approaches.",Con chim làm tổ khi mùa xuân đến gần.
"The wolves howl in the moonlight.",Những con sói hú dưới ánh trăng.
"The eagle rises above the clouds as it rains.",Con đại bàng bay lên trên tầng mây khi trời mưa.
"Are you able to come aboard at this moment?",Bạn có thể lên tàu lúc này không?
"We made plans about how to best see the stars.",Chúng tôi đã lên kế hoạch về cách quan sát sao trời tốt nhất.
"He didn't know I was watching from above.",Anh ấy không biết rằng tôi đang quan sát từ bên trên.
"How can you get across this river so quickly?",Làm thế nào bạn vượt qua con sông này nhanh như vậy?
"I couldn't see after the dirt got in my eyes.",Tôi đã không nhìn được khi bụi bay vào mắt.
"She pushed against the tree with all her strength.",Cô ấy đã đẩy cái cây bằng hết sức lực.
"Would you have brought me along otherwise?",Nếu khác đi bạn có đưa tôi đi cùng không?
"Will you be among those in the forest?",Bạn sẽ ở giữa những thứ đó trong khu rừng ư?
"I don't want to be around when she arrives.",Tôi không muốn có mặt khi cô ấy đến.
"He doesn't move as quickly as she does.",Anh ấy di chuyển không nhanh bằng cô ấy.
"We could have traveled at a slower pace.",Chúng tôi có thể đã di chuyển chậm hơn.
"What you see before you is a huge animal.",Trước mắt bạn là một con vật khổng lồ.
"Why won't you get behind her?",Vì sao bạn không ra đằng sau cô ấy?
"She wanted me to go down below.",Cô ấy đã muốn tôi đi xuống thấp.
"Beneath the tree, an animal just woke up.","Dưới cái cây, một con vật vừa mới thức dậy."
"She had been beside him for the entire journey.",Cô ấy đã ở bên anh ấy trong suốt hành trình.
"I'll decide between staying here and going home.",Tôi sẽ quyết định ở lại đây hay về nhà.
"He refuses to help anyone beyond his own family.",Anh ấy từ chối giúp bất kỳ người nào ngoài gia đình của anh ấy.
"I would swim, but it is too early in the day.",Tôi sẽ bơi nhưng lúc đó quá sớm.
"You might be able to find her by the river.",Bạn có thể tìm được cô ấy bên sông.
"Despite the weather, I will get there on time.","Bất chấp thời tiết, tôi sẽ đến đó đúng giờ."
"If you keep jumping up and down, she will leave.","Nếu bạn cứ nhảy tưng tưng, cô ấy sẽ bỏ đi."
"It's difficult to swim at such a wild storm.",Rất khó để bơi trong cơn bão mạnh như vậy.
"Don't say anything except that you love him.",Đừng nói bất kỳ điều gì ngoại trừ nói bạn yêu anh ấy.
"She would have made food for you if you'd asked.",Cô ấy sẽ làm đồ ăn cho bạn nếu bạn yêu cầu.
"They walked from the forest to the river.",Họ đã đi từ khu rừng ra con sông.
"He's worried that we've been in the forest for too long.",Anh ấy đã lo chúng ta ở trong rừng quá lâu.
"Can you believe that a rock is inside this fruit?",Bạn có tin được rằng trong quả này có một cục đá không?
"If she turns him into an animal, I will save him.","Nếu cô ấy biến anh ta thành một con vật, tôi sẽ cứu anh ấy."
"It was like the entire forest had suddenly stopped.",Lúc đó như thể toàn bộ khu rừng đột nhiên dừng lại.
"She had been near death several times",Cô ấy đã cận kề cái chết nhiều lần.
"He doesn't want us to be next to him again.",Anh ấy không muốn chúng ta ở cạnh anh ấy một lần nữa.
"Several friends have forgotten how to swim.",Một số người bạn đã quên cách bơi.
"I strayed off the path despite his orders.",Tôi đã lạc đường bất chấp những lệnh của anh ấy.
"He found us on his way home from the river.",Anh ấy đã tìm thấy chúng tôi trên đường anh ấy về nhà từ con sông.
"I don't know how we got onto this topic.",Tôi không biết làm thế nào chúng ta lại nói về chủ đề này.
"You should get out of the river before sunset.",Bạn nên lên khỏi con sông trước khi mặt trời lặn.
"The animals would have flown over the forest.",Những con vật đáng lẽ đã bay qua khu rừng.
"If you can't swim, you shouldn't go past this river.","Nếu bạn không bơi được, bạn không nên đi quá con sông này."
"As per the king's orders, you must leave this village.","Theo lệnh của nhà vua, bạn phải rời khỏi làng này."
"Plus, we can't stay here if you are also here.","Ngoài ra, chúng tôi không thể ở lại đây nếu bạn cũng ở đây."
"I will talk more regarding this matter.",Tôi sẽ nói thêm về vấn đề này.
"Have you seen a large rock 'round here?",Bạn có nhìn thấy một tảng đá lớn quanh đây không?
"She would climb it save for the fact that she is too short.",Cô ấy sẽ trèo lên nó nếu cô ấy không quá thấp.
"He has gotten weaker since I last saw him.",Anh ấy đã yếu hơn kể từ lần cuối cùng tôi gặp anh ấy.
"I would rather eat fruit than meat.",Tôi thà ăn trái cây hơn thịt.
"Maybe this time they will get through to her.",Có lẽ lần này họ sẽ liên lạc được với cô ấy.
"I will keep jumping till they tell me to stop.",Tôi sẽ tiếp tục nhảy cho đến khi họ bảo tôi dừng lại.
"Do we want them to give this to us?",Chúng ta có muốn họ đưa cho chúng ta cái này không?
"They can either move toward the sea or go home.",Họ có thể ra biển hoặc về nhà.
"The queen will find a rock under some leaves.",Hoàng hậu sẽ tìm thấy một cục đá bên dưới những chiếc lá.
"He wished he could rest underneath the tree.",Anh ấy ước gì có thể nghỉ ngơi bên dưới cái cây.
"It is unlike anything I have ever seen.",Nó không giống bất kỳ thứ gì tôi đã từng nhìn.
"She likes to swim until the sunset.",Cô ấy thích bơi cho đến khi hoàng hôn.
"What goes up must come down.",Có lên thì phải có xuống.
"She used to love gazing upon the water.",Cô ấy đã từng thích ngắm mặt nước.
"We argued about the forest versus the river.",Chúng tôi đã tranh luận so sánh khu rừng và con sông.
"Tomorrow morning, I will have traveled via boat.","Sáng ngày mai, tôi sẽ di chuyển bằng thuyền."
"If I were with him, I would annoy him.","Nếu tôi ở cạnh anh ấy, tôi sẽ khiến anh ấy khó chịu."
"There was a wild animal deep within the cave.",Có một con thú hoang ở sâu trong hang.
"I shouldn't have left without eating first.",Tôi đã không nên rời đi mà chưa ăn.
"If you had taken another step, I would have laughed. ","Nếu bạn bước thêm một bước nữa, tôi đã bật cười. "
"Any of the animals could have done this.",Bất kỳ con vật nào cũng có thể đã làm chuyện này.
